State_Name,District_Name,Composite_Quartile,Composite_Score,tag_food,tag_food_nc,Irrigation_Category,Gross_Irrigated_Area_Pct
NAGALAND,Wokha,Q3,58.47939130086414,Low,Low,Rainfed,6.089378947303688
NAGALAND,Zunheboto,Q3,56.63376430049495,Low,Low,Rainfed,4.492625298138975
ODISHA,Baleshwar,Q3,65.46697773719856,Low,Low,Sparsely Irrigated,22.65354578482135
ODISHA,Bhadrak,Q3,56.41404921238517,Low,Low,Moderately Irrigated,24.92927435699212
PUDUCHERRY,Puducherry,Q4,85.86579080715524,,,Moderately Irrigated,33.53529852270407
PUDUCHERRY,Yanam,Q4,80.89176120992718,Low,Low,Sparsely Irrigated,16.77122542869093
PUNJAB,Amritsar,Q4,88.66691063291304,High,High,Highly Irrigated,83.28793109989756
PUNJAB,Barnala,Q4,99.27245396810625,Medium,Medium,Highly Irrigated,87.70900578157699
PUNJAB,Bathinda,Q4,98.90942086940929,High,High,Highly Irrigated,83.9596109584973
PUNJAB,Faridkot,Q4,96.93178011491737,Medium,Medium,Highly Irrigated,86.47489361702128
PUNJAB,Fatehgarh Sahib,Q4,98.18139820613419,Medium,Medium,Highly Irrigated,88.83148338531774
PUNJAB,Fazilka,Q4,92.62894877734841,High,High,Highly Irrigated,87.63360693432183
PUNJAB,Firozpur,Q4,97.30319533760085,High,High,Highly Irrigated,91.44846831671967
PUNJAB,Gurdaspur,Q4,91.77766551423352,High,High,Highly Irrigated,80.62326670478458
PUNJAB,Hoshiarpur,Q4,87.55266954201296,Medium,Medium,Highly Irrigated,59.72729443181919
PUNJAB,Jalandhar,Q4,95.6671268067423,High,High,Highly Irrigated,91.23632730332352
PUNJAB,Kapurthala,Q4,94.80588957502414,Medium,Medium,Highly Irrigated,78.95233005686288
PUNJAB,Ludhiana,Q4,98.34252830258956,High,High,Highly Irrigated,81.23927539694607
PUNJAB,Mansa,Q4,97.50819749818241,Medium,Medium,Highly Irrigated,86.20376906857909
PUNJAB,Moga,Q4,99.07151352445071,High,High,Highly Irrigated,86.93299315160468
PUNJAB,Pathankot,Q4,78.0160214989707,Low,Low,Highly Irrigated,49.61415959470725
PUNJAB,Patiala,Q4,95.50336203611822,High,High,Highly Irrigated,79.61303013661227
PUNJAB,Rupnagar,Q4,91.8717771963172,Low,Low,Highly Irrigated,58.11086672129498
PUNJAB,Sangrur,Q4,99.63063527512686,High,High,Highly Irrigated,87.37476869191644
PUNJAB,Shahid Bhagat Singh Nagar,Q4,96.2045399622793,Medium,Medium,Highly Irrigated,70.35836544345037
PUNJAB,Sri Muktsar Sahib,Q4,96.60320538931359,,,Highly Irrigated,86.15292517419194
PUNJAB,Tarn Taran,Q4,92.72544715921343,High,High,Highly Irrigated,90.09770179209688
RAJASTHAN,Alwar,Q4,84.8247163761941,High,High,Highly Irrigated,50.67571504144712
RAJASTHAN,Baran,Q3,71.35887353935242,Medium,Medium,Highly Irrigated,48.11290407899797
RAJASTHAN,Bharatpur,Q4,80.59873493450102,Medium,Medium,Highly Irrigated,69.69735459907037
RAJASTHAN,Bundi,Q3,65.66402669225243,Medium,Medium,Moderately Irrigated,44.05211551746062
RAJASTHAN,Chittaurgarh,Q3,57.79279516901725,Medium,Medium,Moderately Irrigated,38.37361876153113
RAJASTHAN,Dausa,Q4,73.10102238427325,Medium,Medium,Moderately Irrigated,41.3346018735363
RAJASTHAN,Dhaulpur,Q4,88.43259181210666,Low,Low,Moderately Irrigated,47.09466927322755
RAJASTHAN,Ganganagar,Q3,62.54086663190008,High,High,Highly Irrigated,60.29831065201846
RAJASTHAN,Jaipur,Q3,64.22472626525206,High,High,Moderately Irrigated,24.5258350078528
RAJASTHAN,Jhalawar,Q3,62.00430203208607,Medium,Medium,Highly Irrigated,52.7209028288532
RAJASTHAN,Jhunjhunun,Q3,67.67302693930155,Medium,Medium,Highly Irrigated,49.52500354630642
RAJASTHAN,Karauli,Q4,80.36137523984404,Medium,Medium,Moderately Irrigated,28.31093335932911
RAJASTHAN,Kota,Q3,70.94101098354243,Medium,Medium,Highly Irrigated,51.10323621099416
RAJASTHAN,Pratapgarh,Q3,65.40923565487454,Low,Low,Moderately Irrigated,42.07855069795387
RAJASTHAN,Sawai Madhopur,Q4,73.05910777804314,Medium,Medium,Highly Irrigated,50.19194109010768
