State_Name,District_Name,Composite_Quartile,Composite_Score,tag_food,tag_food_nc,Irrigation_Category,Gross_Irrigated_Area_Pct
TRIPURA,Unokoti,Q3,63.7471954321647,Low,Low,Rainfed,6.724240706008927
TRIPURA,West Tripura,Q3,57.55877183974665,Low,Low,Sparsely Irrigated,12.53472852082757
UTTAR PRADESH,Jhansi,Q2,43.13060678405583,Medium,Medium,Highly Irrigated,50.93511146496815
UTTAR PRADESH,Kaushambi,Q3,60.47475610478466,Low,Low,Highly Irrigated,53.71275997751545
UTTAR PRADESH,Lalitpur,Q2,53.10881247227603,Medium,Medium,Sparsely Irrigated,14.65151815836475
UTTAR PRADESH,Lucknow,Q3,58.55755314599596,Low,Low,Moderately Irrigated,24.89200949367089
UTTAR PRADESH,Mau,Q3,62.46396644350388,Low,Low,Highly Irrigated,83.07822533566842
UTTAR PRADESH,Mirzapur,Q3,58.58146506717323,Low,Low,Moderately Irrigated,38.5205448354143
UTTAR PRADESH,Sant Kabir Nagar,Q3,58.77054356768346,Low,Low,Highly Irrigated,66.68347509113
UTTAR PRADESH,Sant Kabir Nagar,Q3,69.40445273673218,Low,Low,Highly Irrigated,66.68347509113
UTTAR PRADESH,Sant Kabir Nagar,Q3,58.77054356768346,Low,Low,Highly Irrigated,58.27093596059113
UTTAR PRADESH,Sant Kabir Nagar,Q3,69.40445273673218,Low,Low,Highly Irrigated,58.27093596059113
UTTAR PRADESH,Shrawasti,Q3,58.31419762715088,Low,Low,Highly Irrigated,62.83414634146342
UTTAR PRADESH,Varanasi,Q3,63.04203610490829,Low,Low,Highly Irrigated,52.95504885993485
UTTARAKHAND,Nainital,Q3,62.93928191666777,Low,Low,Rainfed,5.763880206992746
WEST BENGAL,Alipurduar,Q3,63.24998804030605,Low,Low,Highly Irrigated,49.1813602
WEST BENGAL,Puruliya,Q2,53.30040280045363,Medium,Medium,Highly Irrigated,61.96256684
